Anno;Provincia produttore;Regione;Codice EER;Pericoloso;Descrizione EER;Quantita;Unita di misura
2024;AQ;Abruzzo;010413;NP;rifiuti prodotti dal taglio e dalla segagione della pietra, diversi da quelli di cui alla voce 01 04 07;1;kg
2024;BS;Lombardia;020304;NP;scarti inutilizzabili per il consumo o la trasformazione;2160;kg
2024;AN;Marche;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;272;kg
2024;BA;Puglia;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;1;kg
2024;PN;Friuli Venezia Giulia;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;7500;kg
2024;TO;Piemonte;030105;NP;segatura, trucioli, residui di taglio, legno, pannelli di truciolare e piallacci diversi da quelli di cui alla voce 03 01 04;1900;kg
2024;FI;Toscana;040109;NP;rifiuti delle operazioni di confezionamento e finitura;428;kg
2024;NA;Campania;040109;NP;rifiuti delle operazioni di confezionamento e finitura;2000;kg
2024;SS;Sardegna;040215;NP;rifiuti da operazioni di finitura, diversi da quelli di cui alla voce 04 02 14;45;kg
2024;FI;Toscana;040222;NP;rifiuti da fibre tessili lavorate;462;kg
2024;LC;Lombardia;040222;NP;rifiuti da fibre tessili lavorate;274;kg
2024;NA;Campania;040222;NP;rifiuti da fibre tessili lavorate;1000;kg
2024;VB;Piemonte;040222;NP;rifiuti da fibre tessili lavorate;3809;kg
2024;NA;Campania;060106;P;altri acidi;20;l
2024;VI;Veneto;060106;P;altri acidi;258;kg
2024;VI;Veneto;060311;P;sali e loro soluzioni, contenenti cianuri;1;kg
2024;FI;Toscana;060405;P;rifiuti contenenti altri metalli pesanti;92;kg
2024;AR;Toscana;060502;P;fanghi prodotti dal trattamento in loco di effluenti, contenenti sostanze pericolose;130;kg
2024;CS;Calabria;070101;P;soluzioni acquose di lavaggio e acque madri;15;l
2024;VV;Calabria;070101;P;soluzioni acquose di lavaggio e acque madri;25;kg
2024;BO;Emilia Romagna;070213;NP;rifiuti plastici;38450;kg
2024;RM;Lazio;070703;P;solventi organici alogenati, soluzioni di lavaggio e acque madri;20;kg
2024;RM;Lazio;070704;P;altri solventi organici, soluzioni di lavaggio e acque madri;30;kg
2024;RM;Lazio;070709;P;residui di filtrazione e assorbenti esauriti alogenati;58;kg
2024;FI;Toscana;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;50;kg
2024;GR;Toscana;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;400;kg
2024;SI;Toscana;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;306;kg
2024;VI;Veneto;080111;P;pitture e vernici di scarto, contenenti solventi organici o altre sostanze pericolose;400;kg
2024;BS;Lombardia;080312;P;scarti di inchiostro, contenenti sostanze pericolose;379;kg
2024;OR;Sardegna;080312;P;scarti di inchiostro, contenenti sostanze pericolose;20;kg
2024;CH;Abruzzo;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;36;kg
2024;FI;Toscana;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;20;kg
2024;GE;Liguria;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;3;kg
2024;MC;Marche;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;1;kg
2024;MI;Lombardia;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;2;kg
2024;NA;Campania;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;4;kg
2024;OR;Sardegna;080318;NP;toner per stampa esauriti, diversi da quelli di cui alla voce 08 03 17;51;kg
